Title,Date,Short Desc,Link
Quality Family Village aims to improve family resilience: BKKBN,3 hours ago,The National Population and Family Planning Board (BKKBN) has said that the Quality Family Village (Kampung KB) program ...,https://en.antaranews.com/news/313575/quality-family-village-aims-to-improve-family-resilience-bkkbn
"Papua, UK embassy discuss scholarships for civil servants",4 hours ago,The provincial government of Papua on Wednesday received a visit from the Embassy of the United Kingdom to Indonesia to ...,https://en.antaranews.com/news/313557/papua-uk-embassy-discuss-scholarships-for-civil-servants
Jakarta yet to enforce law against illegal parking fee chargers,9 hours ago,The Jakarta Provincial Government has yet to conduct on-site law enforcement for illegal parking fee chargers mostly ...,https://en.antaranews.com/news/313509/jakarta-yet-to-enforce-law-against-illegal-parking-fee-chargers
Ministry pushes creative Health School Movement implementation,yesterday 21:40,"The Ministry of Education, Culture, Research, and Technology is encouraging schools to create effective, creative, ...",https://en.antaranews.com/news/313446/ministry-pushes-creative-health-school-movement-implementation
P&G unveils plans to prominently feature superior performing brands during the Olympic and Paralympic Games Paris 2024,yesterday 20:31,"- Procter & Gamble (NYSE: PG), a Worldwide Olympic and Paralympic Partner, announced plans today to prominently feature ...",https://en.antaranews.com/news/313440/pg-unveils-plans-to-prominently-feature-superior-performing-brands-during-the-olympic-and-paralympic-games-paris-2024
Creating more specialist doctors through teaching hospitals,yesterday 14:38,"The Indonesian government, on May 6, 2024, launched the Teaching Hospital-Based Specialist Doctor Education Program ...",https://en.antaranews.com/news/313386/creating-more-specialist-doctors-through-teaching-hospitals
ANESSA Launching “ANESSA Sunshine Project” in 12 Asian countries/regions to support children’s holistic well-being,yesterday 10:05,"- ANESSA, the No. 1 suncare brand in Asia*1 from Shiseido, is proud to unveil the ANESSA Sunshine Project, a ...",https://en.antaranews.com/news/313362/anessa-launching-anessa-sunshine-project-in-12-asian-countries-regions-to-support-childrens-holistic-well-being
"Falcon 2: UAE’s Technology Innovation Institute Releases New AI Model Series, Outperforming Meta’s New Llama 3",13th May 2024,"- The Technology Innovation Institute (TII), a leading global scientific research center and the applied research ...",https://en.antaranews.com/news/313350/falcon-2-uaes-technology-innovation-institute-releases-new-ai-model-series-outperforming-metas-new-llama-3
Govt conducting dissemination of information on tourism bus safety,13th May 2024,The Tourism and Creative Economy Ministry has been consistently conducting special dissemination of information ...,https://en.antaranews.com/news/313296/govt-conducting-dissemination-of-information-on-tourism-bus-safety
Ministry teams up with international partners for HR development,13th May 2024,The Employment Human Resources Development Center of the Manpower Ministry supports the development of human resource ...,https://en.antaranews.com/news/313287/ministry-teams-up-with-international-partners-for-hr-development
Government committed to addressing workforce skills gap: Minister,13th May 2024,"The government has been consistently taking viable measures for overcoming the skills gap in the workforce, including ...",https://en.antaranews.com/news/313251/government-committed-to-addressing-workforce-skills-gap-minister
PUPR Ministry completes reconstruction of  Cavalry Museum,13th May 2024,The Ministry of Public Works and Public Housing (PUPR) has concluded the renovation work on the Indonesian Cavalry ...,https://en.antaranews.com/news/313239/pupr-ministry-completes-reconstruction-of-cavalry-museum
Shanghai Jiao Tong University Offers Free Online Courses for International Learners,13th May 2024, Antai College of Economics and Management (ACEM) of Shanghai Jiao Tong University (SJTU) is ...,https://en.antaranews.com/news/313233/shanghai-jiao-tong-university-offers-free-online-courses-for-international-learners
"More than 25,000 Global Leaders and Industry Decision Makers Gather at Asia Tech x Singapore",13th May 2024," From 29 to 31 May, Asia's flagship tech platform, Asia Tech x Singapore (ATxSG) will host ...",https://en.antaranews.com/news/313230/more-than-25000-global-leaders-and-industry-decision-makers-gather-at-asia-tech-x-singapore
Ministry asks schools to prioritize safety in every learning activity,12th May 2024,"The Education, Culture, Research, and Technology Ministry asked schools to prioritize safety and comfort in every ...",https://en.antaranews.com/news/313194/ministry-asks-schools-to-prioritize-safety-in-every-learning-activity
